Partition  1: beta=2 || solution energy: -57.0 || number of edges in solution: 0 || solution size: 57
Partition  2: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition  3: beta=2 || solution energy: -53.0 || number of edges in solution: 0 || solution size: 53
Partition  4: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition  5: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition  6: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition  7: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition  8: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition  9: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 10: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 11: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 12: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Partition 13: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 14: beta=2 || solution energy: -59.0 || number of edges in solution: 0 || solution size: 59
Partition 15: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 16: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 17: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 18: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 19: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 20: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 21: beta=2 || solution energy: -57.0 || number of edges in solution: 0 || solution size: 57
Partition 22: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 23: beta=2 || solution energy: -59.0 || number of edges in solution: 0 || solution size: 59
Partition 24: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 25: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 26: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 27: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 28: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 29: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 30: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 31: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 32: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Partition 33: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 34: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Partition 35: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 36: beta=2 || solution energy: -59.0 || number of edges in solution: 0 || solution size: 59
Partition 37: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 38: beta=2 || solution energy: -56.0 || number of edges in solution: 0 || solution size: 56
Partition 39: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Partition 40: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 41: beta=2 || solution energy: -59.0 || number of edges in solution: 0 || solution size: 59
Partition 42: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 43: beta=2 || solution energy: -63.0 || number of edges in solution: 0 || solution size: 63
Partition 44: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 45: beta=2 || solution energy: -61.0 || number of edges in solution: 0 || solution size: 61
Partition 46: beta=2 || solution energy: -64.0 || number of edges in solution: 0 || solution size: 64
Partition 47: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 48: beta=2 || solution energy: -59.0 || number of edges in solution: 0 || solution size: 59
Partition 49: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Partition 50: beta=2 || solution energy: -64.0 || number of edges in solution: 0 || solution size: 64
Partition 51: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Partition 52: beta=2 || solution energy: -63.0 || number of edges in solution: 0 || solution size: 63
Partition 53: beta=2 || solution energy: -63.0 || number of edges in solution: 0 || solution size: 63
Partition 54: beta=2 || solution energy: -60.0 || number of edges in solution: 0 || solution size: 60
Partition 55: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Partition 56: beta=2 || solution energy: -63.0 || number of edges in solution: 0 || solution size: 63
Partition 57: beta=2 || solution energy: -62.0 || number of edges in solution: 0 || solution size: 62
Best result: beta=2 || best solution energy: -64.0 || number of edges in best solution: 0 || best solution size: 64
