Partition  1: beta=1 || solution energy: -2.0 || number of edges in solution: 1 || solution size: 4
Partition  2: beta=1 || solution energy: -1.0 || number of edges in solution: 2 || solution size: 5
Partition  3: beta=1 || solution energy: -2.0 || number of edges in solution: 1 || solution size: 4
Partition  4: beta=1 || solution energy: 21.0 || number of edges in solution: 15 || solution size: 9
Partition  5: beta=1 || solution energy: -2.0 || number of edges in solution: 1 || solution size: 4
Partition  6: beta=1 || solution energy: 0.0 || number of edges in solution: 4 || solution size: 8
Partition  7: beta=1 || solution energy: 2.0 || number of edges in solution: 3 || solution size: 4
Partition  8: beta=1 || solution energy: -1.0 || number of edges in solution: 4 || solution size: 9
Partition  9: beta=1 || solution energy: 1.0 || number of edges in solution: 3 || solution size: 5
Partition 10: beta=1 || solution energy: -3.0 || number of edges in solution: 0 || solution size: 3
Partition 11: beta=1 || solution energy: -2.0 || number of edges in solution: 2 || solution size: 6
Partition 12: beta=1 || solution energy: 6.0 || number of edges in solution: 6 || solution size: 6
Partition 13: beta=1 || solution energy: -2.0 || number of edges in solution: 2 || solution size: 6
Partition 14: beta=1 || solution energy: -3.0 || number of edges in solution: 1 || solution size: 5
Partition 15: beta=1 || solution energy: 6.0 || number of edges in solution: 6 || solution size: 6
Partition 16: beta=1 || solution energy: -3.0 || number of edges in solution: 1 || solution size: 5
Partition 17: beta=1 || solution energy: -2.0 || number of edges in solution: 3 || solution size: 8
Partition 18: beta=1 || solution energy: -2.0 || number of edges in solution: 1 || solution size: 4
Partition 19: beta=1 || solution energy: -2.0 || number of edges in solution: 1 || solution size: 4
Partition 20: beta=1 || solution energy: -2.0 || number of edges in solution: 1 || solution size: 4
Partition 21: beta=1 || solution energy: 2.0 || number of edges in solution: 4 || solution size: 6
Partition 22: beta=1 || solution energy: 2.0 || number of edges in solution: 4 || solution size: 6
Partition 23: beta=1 || solution energy: -1.0 || number of edges in solution: 2 || solution size: 5
Partition 24: beta=1 || solution energy: 0.0 || number of edges in solution: 3 || solution size: 6
Partition 25: beta=1 || solution energy: -3.0 || number of edges in solution: 1 || solution size: 5
Partition 26: beta=1 || solution energy: 1.0 || number of edges in solution: 3 || solution size: 5
Partition 27: beta=1 || solution energy: 1.0 || number of edges in solution: 3 || solution size: 5
Partition 28: beta=1 || solution energy: -3.0 || number of edges in solution: 1 || solution size: 5
Partition 29: beta=1 || solution energy: -6.0 || number of edges in solution: 0 || solution size: 6
Partition 30: beta=1 || solution energy: 1.0 || number of edges in solution: 4 || solution size: 7
Partition 31: beta=1 || solution energy: -2.0 || number of edges in solution: 0 || solution size: 2
Partition 32: beta=1 || solution energy: 33.0 || number of edges in solution: 22 || solution size: 11
Partition 33: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 34: beta=1 || solution energy: -2.0 || number of edges in solution: 2 || solution size: 6
Partition 35: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 36: beta=1 || solution energy: -2.0 || number of edges in solution: 2 || solution size: 6
Partition 37: beta=1 || solution energy: -4.0 || number of edges in solution: 1 || solution size: 6
Partition 38: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 39: beta=1 || solution energy: 0.0 || number of edges in solution: 3 || solution size: 6
Partition 40: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 41: beta=1 || solution energy: 0.0 || number of edges in solution: 3 || solution size: 6
Partition 42: beta=1 || solution energy: -1.0 || number of edges in solution: 1 || solution size: 3
Best result: beta=1 || best solution energy: -6.0 || number of edges in best solution: 0 || best solution size: 6
