Partition 15: beta=1 || solution energy: 0 || number of edges in solution: 0 || solution size: 0
Partition 16: beta=1 || solution energy: -3.0 || number of edges in solution: 2 || solution size: 7
Partition 17: beta=1 || solution energy: -6.0 || number of edges in solution: 0 || solution size: 6
Partition 18: beta=1 || solution energy: 0 || number of edges in solution: 0 || solution size: 0
Partition 19: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 20: beta=1 || solution energy: -3.0 || number of edges in solution: 3 || solution size: 9
Partition 21: beta=1 || solution energy: -4.0 || number of edges in solution: 2 || solution size: 8
Partition 22: beta=1 || solution energy: -4.0 || number of edges in solution: 2 || solution size: 8
Partition 23: beta=1 || solution energy: -4.0 || number of edges in solution: 2 || solution size: 8
Partition 24: beta=1 || solution energy: -8.0 || number of edges in solution: 0 || solution size: 8
Partition 25: beta=1 || solution energy: -5.0 || number of edges in solution: 2 || solution size: 9
Partition 26: beta=1 || solution energy: -5.0 || number of edges in solution: 2 || solution size: 9
Partition 27: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 28: beta=1 || solution energy: -4.0 || number of edges in solution: 2 || solution size: 8
Partition 29: beta=1 || solution energy: -4.0 || number of edges in solution: 2 || solution size: 8
Partition 30: beta=1 || solution energy: -6.0 || number of edges in solution: 1 || solution size: 8
Partition 31: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 32: beta=1 || solution energy: -6.0 || number of edges in solution: 0 || solution size: 6
Partition 33: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 34: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 35: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 36: beta=1 || solution energy: -6.0 || number of edges in solution: 1 || solution size: 8
Partition 37: beta=1 || solution energy: -7.0 || number of edges in solution: 0 || solution size: 7
Partition 38: beta=1 || solution energy: -3.0 || number of edges in solution: 3 || solution size: 9
Partition 39: beta=1 || solution energy: -6.0 || number of edges in solution: 0 || solution size: 6
Partition 40: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 41: beta=1 || solution energy: -4.0 || number of edges in solution: 2 || solution size: 8
Partition 42: beta=1 || solution energy: -6.0 || number of edges in solution: 0 || solution size: 6
Partition 43: beta=1 || solution energy: 0 || number of edges in solution: 0 || solution size: 0
Partition 44: beta=1 || solution energy: -4.0 || number of edges in solution: 1 || solution size: 6
Partition 45: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 46: beta=1 || solution energy: -6.0 || number of edges in solution: 0 || solution size: 6
Partition 47: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 48: beta=1 || solution energy: -5.0 || number of edges in solution: 2 || solution size: 9
Partition 49: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 50: beta=1 || solution energy: -6.0 || number of edges in solution: 1 || solution size: 8
Partition 51: beta=1 || solution energy: -5.0 || number of edges in solution: 2 || solution size: 9
Partition 52: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Partition 53: beta=1 || solution energy: -6.0 || number of edges in solution: 0 || solution size: 6
Partition 54: beta=1 || solution energy: -6.0 || number of edges in solution: 1 || solution size: 8
Partition 55: beta=1 || solution energy: -6.0 || number of edges in solution: 1 || solution size: 8
Partition 56: beta=1 || solution energy: -6.0 || number of edges in solution: 1 || solution size: 8
Partition 57: beta=1 || solution energy: -5.0 || number of edges in solution: 1 || solution size: 7
Best result: beta=1 || best solution energy: -8.0 || number of edges in best solution: 0 || best solution size: 8
