Partition  1: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  2: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  3: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  4: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  5: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  6: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  7: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  8: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  9: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 10: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 11: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 12: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Best result: beta=1 || best solution energy: -4.0 || number of edges in best solution: 0 || best solution size: 4
