Partition  1: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition  2: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition  3: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition  4: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition  5: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition  6: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition  7: beta=1 || solution energy: -4.0 || number of edges in solution: 1 || solution size: 6
Partition  8: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition  9: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 10: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 11: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 12: beta=1 || solution energy: -4.0 || number of edges in solution: 1 || solution size: 6
Partition 13: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 14: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 15: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 16: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 17: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 18: beta=1 || solution energy: -4.0 || number of edges in solution: 1 || solution size: 6
Partition 19: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 20: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 21: beta=1 || solution energy: -4.0 || number of edges in solution: 0 || solution size: 4
Partition 22: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 23: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 24: beta=1 || solution energy: -4.0 || number of edges in solution: 1 || solution size: 6
Partition 25: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 26: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Partition 27: beta=1 || solution energy: -5.0 || number of edges in solution: 0 || solution size: 5
Best result: beta=1 || best solution energy: -5.0 || number of edges in best solution: 0 || best solution size: 5
